DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/17/2018 18:00,3.506012,0,30,12,11,11,112,0,4670.698242
7/18/2018 8:00,14.151,20,31,12,8,8,119.5,7.2,16886.82227
7/18/2018 9:00,14.151,20,202,42,30,30,129.1,17.8,39460.46094
7/18/2018 10:00,14.151,20,398,61,115,47,140.3,27,54548.38281
7/18/2018 11:00,16.33301,36,555,71,200,64,154.4,34,54852.4375
7/18/2018 12:00,16.33301,36,655,77,249,68,171.2,37.8,57581.90234
7/18/2018 13:00,16.33301,36,689,78,261,70,171,37.7,58305.73438
7/18/2018 14:00,14.51901,32,655,77,232,69,154.2,33.9,54311.63281
7/18/2018 15:00,14.51901,32,555,71,161,63,140.2,26.9,31546.98438
7/18/2018 16:00,14.51901,32,398,61,52,52,128.6,17.7,18530.97266
7/18/2018 17:00,5.165985,0,203,42,37,37,119.4,7,4661.796387
7/18/2018 18:00,5.165985,0,31,12,11,11,111.5,0,4670.698242
7/19/2018 8:00,13.69901,8,30,14,10,10,119.4,7.3,20420.86914
7/19/2018 9:00,13.69901,8,197,49,34,32,128.6,18,44156.27344
7/19/2018 10:00,13.69901,8,391,71,121,54,140.2,27.2,59305.39844
7/19/2018 11:00,16.69,0,547,84,198,65,154.3,34.1,68096.35938
7/19/2018 12:00,16.69,0,646,90,254,79,171.1,37.9,72299.40625
7/19/2018 13:00,16.69,0,681,92,266,80,170.6,37.9,73358.95313
7/19/2018 14:00,15.07001,0,647,90,238,79,154.2,34.1,59324.10547
7/19/2018 15:00,15.07001,0,547,84,162,66,140.1,27,41384.78125
7/19/2018 16:00,15.07001,0,391,71,57,55,128.5,17.8,30356.22266
7/19/2018 17:00,4.678009,8,198,49,42,42,119.3,7.1,3681.292725
7/19/2018 18:00,4.678009,8,31,14,12,12,111.4,0,3690.194336
7/20/2018 8:00,13.612,0,32,13,9,9,119.3,7.4,21401.37305
7/20/2018 9:00,13.612,0,204,45,35,32,128.5,18.1,47371.06641
7/20/2018 10:00,13.612,0,399,65,122,50,140.2,27.3,61276.42578
7/20/2018 11:00,16.52899,0,557,76,207,67,154.3,34.3,65772.34375
7/20/2018 12:00,16.52899,0,657,82,256,72,171.1,38.1,71712.57031
